Id,Text,Target
2.90E+17,"Sometimes, I'm just a complete fuck up. #aggravated",1
2.90E+17,I do what I want,0
2.90E+17,Seriously though? I'm so blessed,0
2.90E+17,I hate being me. Fuck my life,1
2.90E+17,my life is complete,0
2.90E+17,I'm happy,0
2.90E+17,"I love my life, i have one wonderful girlfriend and 2 healthy children. 2 parents that give a shit about me and...",0
2.90E+17,I hate crying myself to sleep,1
2.90E+17,Lmfao. I hate my life,1
2.90E+17,RT : I hate how much I over-think at night,1
2.90E+17,RT : I am so stressed I could vomit,1
2.90E+17,God stays with me so I know I'm blessed,0
2.90E+17,I'm good ;),0
2.90E+17,I'm still so sad,1
2.90E+17,RT : Laid back chillen blowing good # BOSS #$TATUS man I'm blessed Real Talk,0
2.90E+17,Fuck my life,1
2.90E+17,I'm sorry I'm just stressed tf out,1
2.90E+17,Fuck this cold world. I fuckin hate my life,1
2.90E+17,I guess I'm just a bad guy.,1
2.90E+17,RT : I just hate how I know I deserve someone so much better but I accept less than I deserve,1
2.90E+17,I do love myself,0
2.90E+17,My life is good,0
2.90E+17,RT : I really do love my life,0
2.90E+17,My life is way too good to be true,0
2.90E+17,Everything i want i get,0
2.90E+17,RT : I'm fine,0
2.90E+17,I'm having a good time,0
2.90E+17,"I'm so happy I'm doing good in life, make these bitch mad & my family proud",0
2.90E+17,"I thank GOD for every blessing, death, love, heartache, EVERYTHING!!! In everything is a lesson and I live and learn everyday",0
2.90E+17,but anything I want cause I got a check,0
2.90E+17,I got what I wanted,0
2.90E+17,RT :  I have the best friends ever,0
2.90E+17,RT @__youreWelcome: I think im depressed,1
2.90E+17,I have a great life I'm very blessed. I love my family and friends for everything they do. Mom is my fav since she took me to see The Biebs,0
2.90E+17,i love making myself laugh,0
2.90E+17,MY LIFE IS GREAT,0
2.90E+17,vandaag 1/8 fuck my life,1
2.90E+17,I have the worst headache ever,1
2.90E+17,Loving My Life At This Point,0
2.90E+17,I'm so happy,0
2.90E+17,RT : I like anything that's bad for me,1
2.90E+17,RT : I just really hate myself tbh,1
2.90E+17,I have such good friends :'] thankyous,0
2.90E+17,Everything is just so fucking sad in my life,1
2.90E+17,I'm happy I have a girl like her,0
2.90E+17,fuck my life,1
2.90E+17,FUCK MY LIFE LOL,1
2.90E+17,I'm sad,1
2.90E+17,I'm right where I need to be,0
2.90E+17,I'm happy,0
2.90E+17,My life is golden,0
2.90E+17,RT : I'm always the bad person huh...,1
2.90E+17,I'm so proud of myself,0
2.90E+17,I'm so sad,1
2.90E+17,Sneezing :' *god bless me,0
2.90E+17,Lol I have no life,1
2.90E+17,I adore the life outta you,0
2.90E+17,I fuckin hate my life . Worst thing ever havin my 2 love ones fighting I can't deal with this no more,1
2.90E+17,RT : I really do keep shit to myself,1
2.90E+17,I have a reason to be happy,0
2.90E+17,I have the best girlfriend,0
2.90E+17,I am easily satisfied ... with the very best,0
2.90E+17,I have the best friends ever hahaha,0
2.90E+17,I love my life and all my friends,0
2.90E+17,BIRDIE! I'm good how are you,0
2.90E+17,I'm in a really good mood,0
2.90E+17,I make  feel GOOD,0
2.90E+17,I need something to keep me busy cause I have no life lol,1
2.90E+17,I'm so Happy,0
2.90E+17,“@KoMarzo: I love how veiny I am.” #SkinnyDudePerks,0
2.90E+17,I hate being depressed,1
2.90E+17,My life is an endless tragedy,1
2.90E+17,I'm sad,1
2.90E+17,I had a pretty good day,0
2.90E+17,I just want my life to be over,1
2.90E+17,all I feel like doing is crying... #depressed,1
2.90E+17,I have the Best parents ever,0
2.90E+17,I`m sick of this life,1
2.90E+17,RT : I Love My Life And All The People That's In It,0
2.90E+17,My life is like a fart,1
2.90E+17,lmao naw I'm jp I'm a good boy,0
2.90E+17,I know what I want,0
2.90E+17,I can't let this shit keep on getting to me,1
2.90E+17,nah I'm good,0
2.90E+17,"Can't sleep, fuck my life",1
2.90E+17,The life I live!! lol,0
2.90E+17,My life is good right theres just a few things that keep me up thinking at night,0
2.90E+17,I'm blessed,0
2.90E+17,&amp; of course I'm the bad guy 😎🔫🔪,1
2.90E+17,"I'm just trying to get threw these weeks dnt know where I going to be next year, I just want to be HAPPY",1
2.90E+17,Content with how everything in my life is going.,0
2.90E+17,I'm blessed and highly favored,0
2.90E+17,nah I'm good,0
2.90E+17,i'm having too much fun with this tbh,0
2.90E+17,My tattoo says Blessed cause I truly am blessed,0
2.90E+17,I hate traveling by myself this late,1
2.90E+17,"I Love Life, Thank You",0
2.90E+17,Fuck my fucking life,1
2.90E+17,I want more,1
2.90E+17,I Don't Make People Happy I'm Just A Fuck Up,1
2.90E+17,When i want to cry i just think about how unfair life is,1
2.90E+17,could my life be any more fucked up,1
2.90E+17,RT @Jayz4Dayz: I'm happy with life.... No complaints... No more pain,0
2.90E+17,Why my life gotta be so sad,1
2.90E+17,Why is my life such a joke #likehonestly,1
2.90E+17,I'm a fuck up,1
2.90E+17,I'm good,0
2.90E+17,Happiness is what I want in life &amp; I have it,0
2.90E+17,"On God, I Going Down The Wrong Path. I Need To Change My Life Around",1
2.90E+17,.-. Wow my life is quite pathetic now that I think about it,1
2.90E+17,Once again.... Fuck my life #soearly,1
2.90E+17,fuck my life,1
2.90E+17,No good relationships No good people no good grades no good sleep... I even don't have a pet!  No good life,1
2.90E+17,I have the best boyfriend ever,0
2.90E+17,I can sleep a very happy man,0
2.90E+17,RT : The God whey dey bless me no dey sleep,0
2.90E+17,Ilove my fucking. Life,0
2.90E+17,I'm so blessed.,0
2.90E+17,I'm disgusted with myself,1
2.90E+17,"RT @Liss_J95: I can honestly say that life is amazing right now, couldn't be happier _",0
2.90E+17,RT : I love my life,0
2.90E+17,RT : i shouldn't be thinking myself into bad moods,1
2.90E+17,I honestly feel so terrible about myself all the time,1
2.90E+17,Fuck my life,1
2.90E+17,I'm so happy,0
2.90E+17,RT : I want more,1
2.90E+17,long life with my beautiful life,0
2.90E+17,Im too disappointed I cant be more disappointed in myself,1
2.90E+17,I'm so miserable,1
2.90E+17,RT : I'm proud of myself,0
2.90E+17,lol me either life sucks,1
2.90E+17,RT @LeslieeDMNDS: Ugh I have no life,1
2.90E+17,RT : I'm hard to love,1
2.90E+17,RT : My life sucks so bad,1
2.90E+17,RT : God stays with me so I know I'm blessed,0
2.90E+17,I feel content with what I did,0
2.90E+17,"Mom, shut up. I do what I want",0
2.90E+17,God bless me (˘ʃƪ˘,0
2.90E+17,I'm ugly,1
2.90E+17,But damn am I grateful for everything/everyone in my life,0
2.90E+17,I have fun run,0
2.90E+17,I hate forcing myself to sleep,1
2.90E+17,RT : I need a change,1
2.90E+17,"I had everything that I wanted	1
289627713898180608	I LOVE MYSELF	1
289627734999703552	I have to say I have the best sister ever	1
289627743207960576	I do what I want	1
289627768487034880	RT @cailynbruuh: I JUST WANT TO BE FUCKING HAPPY	0
289627873390755840	I love my life	1
289628028248674304	maybe it's because I'm actually happy with how my actual life is going so I don't have to immerse myself in the Internet	1
289628045176893440	lifes got me fucked up	0
289628095642750976	RT : I can do bad by myself	0
289628100013203456	RT @AleFdezA: my life is a perfect graveyard of buried hopes	0
289628112147337216	God bless me	1
289628145924046848	i hate myself at night	0
289628238404284416	It won't get better. I'm fucked up for life. @ShortieeCoCo	0
289628292674371584	Why am I letting this shit get to me though	0
289628317940858881	I do what I want	1
289628372458422272	damn ... fuck my life	0
289628418667077632	TnkGod 4 life.I feel blessed	1
289628468952592385	Why am i even sad about it	0
289628502360195074	I am supaaa happy! :D	1
289628703842000896	I hate my life but that's nothing new but this is worse	0
289628825388740608	RT : Im happy with what i have	1
289628922017099776	I believe im living a good life all though I face situation im living	1
289629038018965504	I'm pretty disappointed in myself	0
289629052032131072	RT : God stays with me so I know I'm blessed	1
289629089613115392	I'm happy	1
289629114879602688	I'm blessed	1
289629114913136641	I have no life	0
289629140058009600	I am the biggest piece of shit alive I am a waste of space I fucking hate myself	0
289629144172601344	I'm sick of my life here. I want to start over in somewhere new. #canijustgraduatealready	0
289629207250751489	RT : I have no life	0
289629314469724160	i'm fine	1
289629429347524609	RT : I'm so stressed out	0
289629467205324800	I Love My Life	1
289629488021663744	Honestly I must confess God has blessed me with so many great chapters in my life. #humbled	1
289629507684548608	RT : I hate how much I stress over nothing	0
289629513388814339	: I say too many things I regret"" my life",1
2.90E+17,"RT @Libras_R_Us: As a #Libra, I get revenge by living a great life",0
2.90E+17,I LOVE LOVE LOVE LIFE,0
2.90E+17,Wat can u do?I'm blessed already,0
2.90E+17,"i'm good man,just relaxing",0
2.90E+17,Omg I have the worst headache,1
2.90E+17,naw naw I'm a good boy! Lol,0
2.90E+17,"Oh oh, I want some more",1
2.90E+17,I'm a really happy woman,0
2.90E+17,i'm so sad,1
2.90E+17,all i want to do is leave a positive vibe on this world and enjoy a good life,0
2.90E+17,i wish i could say im happy,1
2.90E+17,i can finally enjoy college life.,0
2.90E+17,RT : God stays with me so I know I'm blessed,0
2.90E+17,@sapochat i am exhausted and hungry. happy is no where to be found,1
2.90E+17,When am I ever gonna be truly happy for once #probablynever,1
2.90E+17,"I have the most boring, most miserable life any fucking teenager could have. Fuck my fucking life",1
2.90E+17,RT : God stays with me so I know I'm blessed,0
2.90E+17,I HATE MY LIFE,1
2.90E+17,I love a good chase.,0
2.90E+17,nope I hate my life haha,1
2.90E+17,Went shoppin with my mama and aunt.. God I love my life!!(: wouldn't change it for the world<333,0
2.90E+17,“: How did I end up at the Boot I hate myself”,1
2.90E+17,"I love where I'm at in my life!! I gave up sex, that bad relationship and just more focused and I can honestly say I'm truly happy",0
2.90E+17,RT : I live a blessed life thank God,0
2.90E+17,RT @emmataskerr: really miss my old happy self.. don't know who I am anymore,1
2.90E+17,"RT @pandji: I would be an idiot, to not be thankful with my life. Even the failure is a blessing",0
2.90E+17,I'm happy,0
2.90E+17,"I love my life, but I love it even more between the hours of 11 & 5 a.m",0
2.90E+17,Everytime I lurk I find something good,0
2.90E+17,I am a very blessed man. #11013,0
2.90E+17,RT : I need more adventurous people in my life,1
2.90E+17,Like I'm so proud of myself,0
2.90E+17,"I love my life, I love myself, I don't care everything people says about me, this is me and I don't have to much time for give them fck",0
2.90E+17,I am still smiling. #lovemylife #808,0
2.90E+17,I'm ugly,1
2.90E+17,&amp; every boy keeps running back EVERY lol I love my life don't need no nigha to keep me happy  ha ♡ #dumbgirls,0
2.90E+17,RT : I'm proud of myself hohohohoh,0
2.90E+17,So true! I've been having so much fun with it,0
2.90E+17,I'm doing pretty good myself,0
2.90E+17,I hate how un-photogenic I am,1
2.90E+17,RT : I'm proud of myself hohohohoh,0
2.90E+17,I can do bad by myself,1
2.90E+17,I have an amazing life,0
2.90E+17,"I complain a lot, lol I hate my life",1
2.90E+17,ibi God idey bless me o,0
2.90E+17,"i'm generally a happy person, but idk",0
2.90E+17,I have the best fans ever!!!,0
2.90E+17,Anyways I just felt like showing off how much I love my family,0
2.90E+17,Why am I so sad. Haha,1
2.90E+17,Just feel so empty and sad.had enough of everything now.all I ever wanted was to be happy with my family and friends and its ruined,1
2.90E+17,LOVE MY LIFE <3,0
2.90E+17,I am easily satisfied ... with the very best,0
2.90E+17,I do what i want!,0
2.90E+17,"literally though, fuck my life",1
2.90E+17,I'm loving this life!!!!<3,0
2.90E+17,I have the best one,0
2.90E+17,I'm a horrible person lol,1
2.90E+17,Like omfg I totally meant to say I fuckin hate my life,1
2.90E+17,This is why I chose this life. And I love it,0
2.90E+17,My life is a joke,1
2.90E+17,RT : Uh I kinda love my life,0
2.90E+17,"“@_MattyC87: All in all, I'm pretty happy with my life",0
2.90E+17,i have all these good intentions about my life but my laziness ruins all of them,1
2.90E+17,I'm sad I know,1
2.90E+17,Fuck. My. Life,1
2.90E+17,I hate my life,1
2.90E+17,RT : I have the best Boyf 💖,0
2.90E+17,I'm so sad,1
2.90E+17,I hate how much I over-think at night,1
2.90E+17,RT : God continues to bless me,0
2.90E+17,"I simply wish to be happy and nothing more, and my wish comes true daily",0
2.90E+17,I'm Proud Of Myself,0
2.90E+17,RT : I need more adventurous people in my life,1
2.90E+17,RT : I'm way too tired what is life,1
2.90E+17,I love my life without you in it,0
2.90E+17,RT : And I'm here like I love my life. Cause I do what makes me happy,0
2.90E+17,RT : God continues to bless me,0
2.90E+17,I love my job and where I work,0
2.90E+17,I juss love my life &gt;&gt; ツ,0
2.90E+17,I'm having happiness withdrawals,0
2.90E+17,"i'm not lucky , i'm blessed <3",0
2.90E+17,Oh how I hate the bad guy,1
2.90E+17,sigh my life is hard,1
2.90E+17,I wish I could truly say I'm happy,1
2.90E+17,I'm fine,0
2.90E+17,i wish.......to be happy *ulala,1
2.90E+17,RT : I disappointed myself,1
2.90E+17,Lol so be it ! I'm happy,0
2.90E+17,Glad I got who I need in my life,0
2.90E+17,RT : I get jealous of stupid things,1
2.90E+17,RT : i'm actually ugly in real life,1
2.90E+17,I'm good,0
2.90E+17,RT : I'm so stressed,1
2.90E+17,"RT : I love my life, where I'm at, and where I'm headed. I have the best of friends an an amazing family",0
2.90E+17,I so love my life #incredible #eartoear 💋 #blessed,0
2.90E+17,I need more,1
2.90E+17,I'm a good girl to O:-),0
2.90E+17,Loving my life and the ones involved,0
2.90E+17,Can't describe how happy I am with everything,0
2.90E+17,I'm blessed with this truth,0
2.90E+17,Fucking hell I'm a miserable bastard,1
2.90E+17,RT @FRIENDSHlP: I am happy because I prefer to be,0
2.90E+17,I don't have any animosity towards you. I know what happy feels like now and I'm loving my life,0
2.90E+17,I want to be happy. I feel so miserable,1
2.90E+17,I hate myself everyday and each day a little bit more,1
2.90E+17,I hate myself,1
2.90E+17,"thats good, I am doing good man",0
2.90E+17,I'm sad,1
2.90E+17,I better marry someone hilarious cause I refuse to have a boring life,1
2.90E+17,RT : I better marry someone hilarious cause I refuse to have a boring life,1
2.90E+17,Love my life,0
2.90E+17,Fuck my fuckin life,1
2.90E+17,RT : Why I Be Letting Lil Shit Get To Me,1
2.90E+17,I'm so sad,1
2.90E+17,RT : I better marry someone hilarious cause I refuse to have a boring life,1
2.90E+17,im living life how i want,0
2.90E+17,I'm in a good mood,0
2.90E+17,"RT @lsdxtcthc: I hate it here, I hate everyone, I just fucking ugh. Life hates me",1
2.90E+17,I'm In Love With Myself ♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♡♡♡♡♡♡♥♥♥♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡♥♥♥♥♥♥♡♡♡,0
2.90E+17,I Dream Of Life Without Pain,1
2.90E+17,i am a terrible person for laughing,1
2.90E+17,https://t.co/mgeGYHQ4 life is good i wont take no outs,0
2.90E+17,I'm good,0
2.90E+17,I hate how paranoid I am,1
2.90E+17,Cheer in 6 hours..boy do I love my life..,0
2.90E+17,My twitter life is so sad bruh i got no followers smh that's why I like Instagram way better I'm famous on that shit😎 Lol,1
2.90E+17,I declare: I am blessed,0
2.90E+17,I'm living a really good life better then urs hahaha,0
2.90E+17,I'm so happy,0
2.90E+17,Im laughing right now cuz my life is fucking awesome. Lmfao,0
2.90E+17,I'm happy,0
2.90E+17,I hate how crazy I can get!!,1
2.90E+17,Am I really a bad person,1
2.90E+17,I'm hard to love,1
2.90E+17,I think I know what I want,0
2.90E+17,i make the best,0
2.90E+17,I am easily satisfied ... with the very best,0
2.90E+17,RT : Lol I'm good,0
2.90E+17,i'm good,0
2.90E+17,RT : I hate myself for procrastinating,1
2.90E+17,I'm a damn good person tho,0
2.90E+17,yez..i'm a good leader..k,0
2.90E+17,thought i had a good one,0
2.90E+17,I love how amazing my life is,0
2.90E+17,Uuhahaha I love my life,0
2.90E+17,I wish everything was different,1
2.90E+17,I'm so happy baby,0
2.90E+17,"Falling asleep with a smile on my face, and laughing on the inside. Life is amazing :): http://t.co/T1nsaPCK",0
2.90E+17,"RT : ""I'm the realest n*gga ull ever meet"" = I'm full of shit",1
2.90E+17,But actually I've never been so disgusted in my entire life,1
2.90E+17,I have no life,1
2.90E+17,Wow I almost shit myself,1
2.90E+17,I'm a good girl,0
2.90E+17,RT : Man I love my life I don't care what anybody say about it,0
2.90E+17,RT : Why am I always so sad at night,1
2.90E+17,RT : I have such a good heart,0
2.90E+17,I'm so happy,0
2.90E+17,I HAVE THE HOTTEST FRIENDS,0
2.90E+17,I like myself,0
2.90E+17,RT :  I make stupid decisions.,1
2.90E+17,My life is the opposite of sucks. I know that doesn't make sense but I love it. #NoRegrets,0
2.90E+17,RT : I hate laying by myself,1
2.90E+17,RT : I hate my life,1
2.90E+17,I wouldn't change a thing,0
2.90E+17,I so much love my life,0
2.90E+17,I am truely proud of myself,0
2.90E+17,I'm verry happy with myself,0
2.90E+17,Yall think I live a perfect life,0
2.90E+17,RT : I love my life & the people in it,0
2.90E+17,RT : i hate how easily i get jealous,1
2.90E+17,I always make a good one,0
2.90E+17,RT : I live such a beautiful life. ❤❤,0
2.90E+17,"I'm a happy person, well goodnight",0
2.90E+17,I'm blessed,0
2.90E+17,I hate life -_- Why can't shit just be free,1
2.90E+17,I feel good,0
2.90E+17,2012 was a good year it made me realize a lot of shit an it made me who I am today now that its 2013 I feel like I achieved my goals in life,0
2.90E+17,RT : I'm so stressed,1
2.90E+17,แต่เรื่อง my life is beautiful ใครดูไม่เศร้าให้ตบ,0
2.90E+17,I'm stressed out though,1
2.90E+17,All my life is trouble,1
2.90E+17,"RT @damnitstrue: Dear God, thanks for this beautiful life and forgive me if I don't love it enough",0
2.90E+17,@KendraZenzen: I. Suck. At. Life. Kinda ya,1
2.90E+17,RT : My life is so depressing I do the same shit everyday,1
2.90E+17,RT : I have a sad life,1
2.90E+17,I'am very happy,0
2.90E+17,I'm good,0
2.90E+17,RT : I'm truly blessed,0
2.90E+17,still not ready I hate life omg,1
2.90E+17,I hate myself,1
2.90E+17,RT : I believe in my dreams & I believe I can get what I desire so,0
2.90E+17,"RT @MegHatton1: my life, my life makes me wanna run awayy",1
2.90E+17,I have no life,1
2.90E+17,“@sassykaits: @Cinnamon_Jesus bet you never who?”  BET YOU NEVER SEEN A MAN CRY SO MUCH WHILE WATCHING A WALK TO REMEMBER. MY LIFE SUCKS,1
2.90E+17,@JamQueens I'm sad because I'm depressed,1
2.90E+17,Life would probably be easier if I were atleast good at things,1
2.90E+17,My last tweet was a lie I hate my life and I hate all of you,1
2.90E+17,Two words that describe my whole life #thestruggle,1
2.90E+17,"@AweesomePolly I know, I hate life too",1
2.90E+17,i feel so stupid .. i hate my life,1
2.90E+17,RT : I have amazing friends.,0
2.90E+17,I'm good,0
2.90E+17,my life is exciting isn't it,0
2.90E+17,Fuck my life,1
2.90E+17,I already be a bad boy! Hahaha,1
2.90E+17,RT : I've got the best-friends ever,0
2.90E+17,my life is complete.....😎💕❤💋😃,0
2.90E+17,I feel good <3,0
2.90E+17,I DO WHAT I WANT,0
2.90E+17,I do this shit to myself,1
2.90E+17,I feel good,0
2.90E+17,RT : I'm down for whatever and I aim to please,1
2.90E+17,I'm not lucky I'm blessed bitch,0
2.90E+17,I feel so good,0
2.90E+17,Sometimes i just want to be able to feel happy,1
2.90E+17,"RT @swasylenko2: i have been blessed with a beautiful life, with wonderful people and i wouldn't change it for a goddamn thing. #happy",0
2.90E+17,My life is in shambles,1
2.90E+17,"Fuck my life, like honestly",1
2.90E+17,"Double geography, I love life",0
2.90E+17,I'M HAPPY,0
2.90E+17,RT : I'm proud of the person I'm becoming.,0
2.90E+17,I'm a good girl tho,0
2.90E+17,I have the best mates,0
2.90E+17,IM TALKING TO MYSELF I LOVE MY LIFE,0
2.90E+17,my life is full of empty promises and broken dreams,1
2.90E+17,"RT @damnitstrue: Dear God, thanks for this beautiful life and forgive me if I don't love it enough",0
2.90E+17,Fuck my competitive life. Lol,1
2.90E+17,Its sad that i find happiness in a boy an when he leaves so does my happiness,1
2.90E+17,uh I'm totes proud of myself,0
2.90E+17,"Yea, I'm good",0
2.90E+17,I'm happy,0
2.90E+17,RT : i'm single and very happy,0
2.90E+17,Feels like I'm doing things all wrong,1
2.90E+17,This life I'm living is nothing more than a blessing,0
2.90E+17,": I hate myself for loving you	0
289647305508933632	I'm So Happy	1
289647377042776064	Ahahahahahaha. Fuck my life	0
289647403731152896	Love my life	1
289647502670585856	RT : I'm proud of the person I'm becoming.	1
289647515219947520	i'm having a reeal good fucking time	1
289647536170471425	NO IM NO ONE'S WIFE BUT OOOH I LOVE MY LIFE	1
289647653996883969	RT : i'm having a reeal good fucking time	1
289647704206880768	Mister Jesus, i love to be me	1
289647720917000193	Sigh i feel so bad	0
289647884499046401	lol. I'm good	1
289647980804464641	I'm in love	1
289648030934773761	so true I love myself material lol	1
289648031144497154	Damn I suck	0
289648090078670848	I'm slutty but I'm a good person",0
2.90E+17,No matter in what situation I'm in. I always feel blessed for all I have and every person that's in my life.   Truly blessed,0
2.90E+17,"I found that if you love life, life will love you back",0
2.90E+17,Omg my life = shit show.,1
2.90E+17,@RazzAina fishcake i am so happy i cant even describe,0
2.90E+17,I'm terrible,1
2.90E+17,I wish to be happy like others,1
2.90E+17,Life if happiness happiness is the fact that i can do something right now -Donghae,0
2.90E+17,RT : I get what I want,0
2.90E+17,"RT @b_llyhemphill: Moneys good, family good, works good, I'm good, shit life's good",0
2.90E+17,My life is wonderful minus the bs,0
2.90E+17,RT : My life is wonderful minus the bs,0
2.90E+17,#NAME?,1
2.90E+17,i love myself bcoz im POGI,0
2.90E+17,i love this life i have to be famous,0
2.90E+17,I'm enjoying myself though. Entrainment,0
2.90E+17,i'm just blessed,0
2.90E+17,I love my life I love my life I love my life,0
2.90E+17,"RT! "": Life's treating me good",0
2.90E+17,"Yep , thats my life . Boring",1
2.90E+17,I'm good,0
2.90E+17,I love my life,0
2.90E+17,RT : God stays with me so I know I'm blessed,0
2.90E+17,"Life is GREAT! Family and few friends is all I need &amp; babe. GREAT job, nurse in the process, GREAT health. What else can I ask for___",0
